trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code,subscriber_type
1120296,275,2016-03-09 17:34:00 UTC,Redwood City Caltrain Station,22,2016-03-09 17:39:00 UTC,Mezes,83,246,94063,Subscriber
1068760,241,2016-01-23 09:43:00 UTC,Redwood City Caltrain Station,22,2016-01-23 09:47:00 UTC,Mezes,83,155,94070,Subscriber
996188,304,2015-11-03 18:09:00 UTC,Redwood City Caltrain Station,22,2015-11-03 18:14:00 UTC,Mezes,83,52,94063,Subscriber
1028495,261,2015-12-03 18:08:00 UTC,Redwood City Caltrain Station,22,2015-12-03 18:12:00 UTC,Mezes,83,694,94063,Subscriber
967436,329,2015-10-12 17:32:00 UTC,Redwood City Caltrain Station,22,2015-10-12 17:38:00 UTC,Mezes,83,655,94063,Subscriber
1155068,281,2016-04-08 17:07:00 UTC,Redwood City Caltrain Station,22,2016-04-08 17:12:00 UTC,Mezes,83,642,94063,Subscriber
1127004,283,2016-03-16 17:36:00 UTC,Redwood City Caltrain Station,22,2016-03-16 17:40:00 UTC,Mezes,83,246,94063,Subscriber
1024381,279,2015-11-30 18:08:00 UTC,Redwood City Caltrain Station,22,2015-11-30 18:13:00 UTC,Mezes,83,694,94063,Subscriber
963205,290,2015-10-08 17:31:00 UTC,Redwood City Caltrain Station,22,2015-10-08 17:35:00 UTC,Mezes,83,655,94063,Subscriber
960045,173,2015-10-06 21:37:00 UTC,Redwood City Caltrain Station,22,2015-10-06 21:40:00 UTC,Mezes,83,102,94063,Subscriber
978367,271,2015-10-20 17:31:00 UTC,Redwood City Caltrain Station,22,2015-10-20 17:36:00 UTC,Mezes,83,650,94063,Subscriber
976553,272,2015-10-19 17:34:00 UTC,Redwood City Caltrain Station,22,2015-10-19 17:38:00 UTC,Mezes,83,650,94063,Subscriber
948306,239,2015-09-28 09:20:00 UTC,Redwood City Caltrain Station,22,2015-09-28 09:24:00 UTC,Mezes,83,93,94707,Subscriber
972698,303,2015-10-15 17:35:00 UTC,Redwood City Caltrain Station,22,2015-10-15 17:40:00 UTC,Mezes,83,650,94063,Subscriber
1210164,232,2016-05-20 21:33:00 UTC,Redwood City Caltrain Station,22,2016-05-20 21:37:00 UTC,Mezes,83,685,94063,Customer
1017900,259,2015-11-20 18:07:00 UTC,Redwood City Caltrain Station,22,2015-11-20 18:12:00 UTC,Mezes,83,28,94063,Subscriber
935346,315,2015-09-17 17:08:00 UTC,Redwood City Caltrain Station,22,2015-09-17 17:13:00 UTC,Mezes,83,256,94063,Subscriber
1173689,322,2016-04-22 17:27:00 UTC,Redwood City Caltrain Station,22,2016-04-22 17:32:00 UTC,Mezes,83,704,94063,Subscriber
937074,284,2015-09-18 17:07:00 UTC,Redwood City Caltrain Station,22,2015-09-18 17:12:00 UTC,Mezes,83,256,94063,Subscriber
1031642,267,2015-12-07 18:08:00 UTC,Redwood City Caltrain Station,22,2015-12-07 18:13:00 UTC,Mezes,83,131,94063,Subscriber
994547,240,2015-11-02 18:08:00 UTC,Redwood City Caltrain Station,22,2015-11-02 18:12:00 UTC,Mezes,83,52,94063,Subscriber
952654,284,2015-09-30 20:02:00 UTC,Redwood City Caltrain Station,22,2015-09-30 20:07:00 UTC,Mezes,83,131,94063,Subscriber
1111147,289,2016-03-01 15:01:00 UTC,Redwood City Caltrain Station,22,2016-03-01 15:06:00 UTC,Mezes,83,174,94107,Subscriber
1022219,289,2015-11-25 17:07:00 UTC,Redwood City Caltrain Station,22,2015-11-25 17:12:00 UTC,Mezes,83,704,94063,Subscriber
1193423,326,2016-05-09 17:31:00 UTC,Redwood City Caltrain Station,22,2016-05-09 17:37:00 UTC,Mezes,83,64,94063,Subscriber
1006032,264,2015-11-11 18:07:00 UTC,Redwood City Caltrain Station,22,2015-11-11 18:11:00 UTC,Mezes,83,182,94063,Subscriber
1151993,289,2016-04-06 17:35:00 UTC,Redwood City Caltrain Station,22,2016-04-06 17:40:00 UTC,Mezes,83,642,94063,Subscriber
