tree_id,site_order,permit_notes,site_info,plant_type,plant_date
46305,8,Permit Number 44564,Sidewalk: Curb side : Cutout,Tree,2002-01-31 00:00:00 UTC
36857,1,Permit Number 39538,Sidewalk: Curb side : Cutout,Tree,1998-05-26 00:00:00 UTC
43484,6,Permit Number 43169,Sidewalk: Curb side : Cutout,Tree,2000-07-19 00:00:00 UTC
48065,219,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48136,260,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
45981,126,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
45029,91,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
44660,42,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
44621,175,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
44710,94,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
