tree_id,site_order,permit_notes,site_info,plant_type,plant_date
45920,66,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
48261,125,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
44832,4,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
48291,101,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
57222,1,Permit Number 14509,Sidewalk: Curb side : Cutout,Tree,1975-01-09 00:00:00 UTC
45982,125,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
43487,3,Permit Number 43169,Sidewalk: Curb side : Cutout,Tree,2000-07-19 00:00:00 UTC
48177,70,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
44628,156,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
44952,65,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
44944,177,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
44954,67,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
34335,21,Permit Number 38095,Sidewalk: Curb side : Cutout,Tree,1997-07-14 00:00:00 UTC
34115,2,Permit Number 37978,Sidewalk: Curb side : Cutout,Tree,1997-07-05 00:00:00 UTC
48168,61,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48279,89,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
58906,1,Permit Number 18181,Sidewalk: Curb side : Cutout,Tree,1980-03-03 00:00:00 UTC
35743,1,Permit Number 39016,Sidewalk: Curb side : Cutout,Tree,1998-04-15 00:00:00 UTC
44957,70,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
30483,4,Permit Number 147,Sidewalk: Curb side : Cutout,Tree,1956-09-05 00:00:00 UTC
